seed,Naive Bayes,Arvore,Forest,Knn,Regressao,Svm,Rna
0,0.9533333333333334,0.9466666666666667,0.9466666666666667,0.96,0.9466666666666667,0.9666666666666668,0.9733333333333334
1,0.9533333333333334,0.9400000000000001,0.9466666666666667,0.9600000000000002,0.9466666666666667,0.9666666666666668,0.9733333333333334
2,0.9533333333333334,0.9466666666666667,0.96,0.9666666666666668,0.9533333333333334,0.96,0.9733333333333334
3,0.9600000000000002,0.9333333333333333,0.9466666666666667,0.9666666666666668,0.9533333333333334,0.9733333333333334,0.9800000000000001
4,0.9533333333333334,0.9533333333333334,0.96,0.9666666666666666,0.9466666666666667,0.9600000000000002,0.9800000000000001
5,0.9533333333333334,0.9533333333333334,0.9466666666666667,0.96,0.9466666666666667,0.96,0.9800000000000001
6,0.9533333333333335,0.9466666666666669,0.9466666666666667,0.9733333333333334,0.9533333333333334,0.9733333333333334,0.9733333333333334
7,0.9533333333333334,0.9666666666666668,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9733333333333334,0.9600000000000002
8,0.9533333333333334,0.9600000000000002,0.9466666666666667,0.9666666666666668,0.9600000000000002,0.96,0.9733333333333334
9,0.9533333333333334,0.9400000000000001,0.9533333333333334,0.9666666666666666,0.96,0.9800000000000001,0.9800000000000001
10,0.9533333333333334,0.9533333333333334,0.9466666666666667,0.96,0.9466666666666667,0.9666666666666666,0.9800000000000001
11,0.9466666666666667,0.9533333333333334,0.96,0.9533333333333334,0.9533333333333334,0.9666666666666666,0.9666666666666666
12,0.9533333333333334,0.9533333333333334,0.9466666666666667,0.9733333333333334,0.9533333333333334,0.9733333333333334,0.9733333333333334
13,0.9533333333333334,0.9600000000000002,0.9533333333333334,0.96,0.96,0.9666666666666668,0.9800000000000001
14,0.9466666666666667,0.9400000000000001,0.9466666666666667,0.9666666666666666,0.9600000000000002,0.9733333333333334,0.9733333333333334
15,0.9533333333333335,0.9400000000000001,0.9533333333333335,0.9666666666666668,0.9533333333333334,0.9800000000000001,0.9800000000000001
16,0.9533333333333334,0.9466666666666667,0.9533333333333334,0.9666666666666666,0.9533333333333334,0.96,0.9800000000000001
17,0.9533333333333334,0.9533333333333334,0.9333333333333333,0.96,0.9533333333333334,0.9666666666666668,0.9800000000000001
18,0.9533333333333334,0.9466666666666667,0.9466666666666667,0.9666666666666666,0.9600000000000002,0.9666666666666668,0.9733333333333334
19,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9733333333333334,0.9666666666666666,0.9800000000000001,0.9800000000000001
20,0.9466666666666667,0.9533333333333334,0.9533333333333334,0.96,0.9533333333333334,0.9666666666666668,0.9800000000000001
21,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9800000000000001,0.9466666666666667,0.9800000000000001,0.9800000000000001
22,0.9533333333333334,0.9533333333333334,0.9466666666666667,0.9533333333333334,0.9400000000000001,0.96,0.9666666666666668
23,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9600000000000002,0.9400000000000001,0.9733333333333334,0.9733333333333334
24,0.9533333333333334,0.9666666666666668,0.9466666666666667,0.9666666666666668,0.9533333333333334,0.9733333333333334,0.9800000000000001
25,0.9533333333333334,0.96,0.9533333333333334,0.9666666666666666,0.9600000000000002,0.9866666666666667,0.9800000000000001
26,0.9466666666666667,0.9466666666666667,0.9600000000000002,0.96,0.9533333333333334,0.9666666666666668,0.9733333333333334
27,0.9533333333333334,0.9400000000000001,0.9466666666666667,0.9666666666666668,0.9533333333333334,0.9666666666666668,0.9733333333333334
28,0.9533333333333334,0.9400000000000001,0.9466666666666667,0.96,0.9400000000000001,0.9533333333333334,0.9733333333333334
29,0.9533333333333334,0.9533333333333334,0.9466666666666667,0.9666666666666666,0.96,0.9800000000000001,0.9666666666666668
